Cumari ;5206602;;;;"INSERT INTO municipio_codigo VALUES('Cumari ','5206602');";
Damianópolis ;5206701;;;;"INSERT INTO municipio_codigo VALUES('Damianópolis ','5206701');";
Damolândia ;5206800;;;;"INSERT INTO municipio_codigo VALUES('Damolândia ','5206800');";
Davinópolis ;5206909;;;;"INSERT INTO municipio_codigo VALUES('Davinópolis ','5206909');";
Diorama ;5207105;;;;"INSERT INTO municipio_codigo VALUES('Diorama ','5207105');";
Divinópolis de Goiás ;5208301;;;;"INSERT INTO municipio_codigo VALUES('Divinópolis de Goiás ','5208301');";
Doverlândia ;5207253;;;;"INSERT INTO municipio_codigo VALUES('Doverlândia ','5207253');";
Edealina ;5207352;;;;"INSERT INTO municipio_codigo VALUES('Edealina ','5207352');";
Edéia ;5207402;;;;"INSERT INTO municipio_codigo VALUES('Edéia ','5207402');";
Estrela do Norte ;5207501;;;;"INSERT INTO municipio_codigo VALUES('Estrela do Norte ','5207501');";
Faina ;5207535;;;;"INSERT INTO municipio_codigo VALUES('Faina ','5207535');";
Fazenda Nova ;5207600;;;;"INSERT INTO municipio_codigo VALUES('Fazenda Nova ','5207600');";
Firminópolis ;5207808;;;;"INSERT INTO municipio_codigo VALUES('Firminópolis ','5207808');";
Flores de Goiás ;5207907;;;;"INSERT INTO municipio_codigo VALUES('Flores de Goiás ','5207907');";
Formosa ;5208004;;;;"INSERT INTO municipio_codigo VALUES('Formosa ','5208004');";
Formoso ;5208103;;;;"INSERT INTO municipio_codigo VALUES('Formoso ','5208103');";
Gameleira de Goiás ;5208152;;;;"INSERT INTO municipio_codigo VALUES('Gameleira de Goiás ','5208152');";
Goianápolis ;5208400;;;;"INSERT INTO municipio_codigo VALUES('Goianápolis ','5208400');";
Goiandira ;5208509;;;;"INSERT INTO municipio_codigo VALUES('Goiandira ','5208509');";
Goianésia ;5208608;;;;"INSERT INTO municipio_codigo VALUES('Goianésia ','5208608');";
Goiânia ;5208707;;;;"INSERT INTO municipio_codigo VALUES('Goiânia ','5208707');";
Goianira ;5208806;;;;"INSERT INTO municipio_codigo VALUES('Goianira ','5208806');";
Goiás ;5208905;;;;"INSERT INTO municipio_codigo VALUES('Goiás ','5208905');";
Goiatuba ;5209101;;;;"INSERT INTO municipio_codigo VALUES('Goiatuba ','5209101');";
Gouvelândia ;5209150;;;;"INSERT INTO municipio_codigo VALUES('Gouvelândia ','5209150');";
Guapó ;5209200;;;;"INSERT INTO municipio_codigo VALUES('Guapó ','5209200');";
Guaraíta ;5209291;;;;"INSERT INTO municipio_codigo VALUES('Guaraíta ','5209291');";
Guarani de Goiás ;5209408;;;;"INSERT INTO municipio_codigo VALUES('Guarani de Goiás ','5209408');";
Guarinos ;5209457;;;;"INSERT INTO municipio_codigo VALUES('Guarinos ','5209457');";
Heitoraí ;5209606;;;;"INSERT INTO municipio_codigo VALUES('Heitoraí ','5209606');";
Hidrolândia ;5209705;;;;"INSERT INTO municipio_codigo VALUES('Hidrolândia ','5209705');";
Hidrolina ;5209804;;;;"INSERT INTO municipio_codigo VALUES('Hidrolina ','5209804');";
Iaciara ;5209903;;;;"INSERT INTO municipio_codigo VALUES('Iaciara ','5209903');";
Inaciolândia ;5209937;;;;"INSERT INTO municipio_codigo VALUES('Inaciolândia ','5209937');";
Indiara ;5209952;;;;"INSERT INTO municipio_codigo VALUES('Indiara ','5209952');";
Inhumas ;5210000;;;;"INSERT INTO municipio_codigo VALUES('Inhumas ','5210000');";
Ipameri ;5210109;;;;"INSERT INTO municipio_codigo VALUES('Ipameri ','5210109');";
Ipiranga de Goiás ;5210158;;;;"INSERT INTO municipio_codigo VALUES('Ipiranga de Goiás ','5210158');";
Iporá ;5210208;;;;"INSERT INTO municipio_codigo VALUES('Iporá ','5210208');";
Israelândia ;5210307;;;;"INSERT INTO municipio_codigo VALUES('Israelândia ','5210307');";
Itaberaí ;5210406;;;;"INSERT INTO municipio_codigo VALUES('Itaberaí ','5210406');";
Itaguari ;5210562;;;;"INSERT INTO municipio_codigo VALUES('Itaguari ','5210562');";
Itaguaru ;5210604;;;;"INSERT INTO municipio_codigo VALUES('Itaguaru ','5210604');";
Itajá ;5210802;;;;"INSERT INTO municipio_codigo VALUES('Itajá ','5210802');";
Itapaci ;5210901;;;;"INSERT INTO municipio_codigo VALUES('Itapaci ','5210901');";
Itapirapuã ;5211008;;;;"INSERT INTO municipio_codigo VALUES('Itapirapuã ','5211008');";
Itapuranga ;5211206;;;;"INSERT INTO municipio_codigo VALUES('Itapuranga ','5211206');";
Itarumã ;5211305;;;;"INSERT INTO municipio_codigo VALUES('Itarumã ','5211305');";
Itauçu ;5211404;;;;"INSERT INTO municipio_codigo VALUES('Itauçu ','5211404');";
Itumbiara ;5211503;;;;"INSERT INTO municipio_codigo VALUES('Itumbiara ','5211503');";
Ivolândia ;5211602;;;;"INSERT INTO municipio_codigo VALUES('Ivolândia ','5211602');";
Jandaia ;5211701;;;;"INSERT INTO municipio_codigo VALUES('Jandaia ','5211701');";
Jaraguá ;5211800;;;;"INSERT INTO municipio_codigo VALUES('Jaraguá ','5211800');";
